,sample_id,source_sample_id,subject_id,replicate,replicate_count,repeated_sample,batch,tissue,brain_region,source_RIN,RIN,molecular_source,input_cell_count,assay,sequencing_end,sequencing_length,sequencing_instrument,file_type,file_name,file_description,file_MD5,technology,omic,adjustment,content,time,header,annotation,preprocessing_references,configuration_file,organism_ontology_term_id,development_stage_ontology_term_id,sex_ontology_term_id,self_reported_ethnicity_ontology_term_id,disease_ontology_term_id,tissue_ontology_term_id,cell_type_ontology_term_id,assay_ontology_term_id,suspension_type,DV200,pm_PH,donor_id
10,HSDG13,HSDG13,HC02,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG13HC_HHT_S1_L002_R1_001.fastq.gz,Nan,Cf03854826d72aa3354d85b8ffec3158  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
11,HSDG13,HSDG13,HC02,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG13HC_HHT_S1_L002_R2_001.fastq.gz,Nan,57a3c24d9e5ac37f0ade89fab5d81221  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
12,HSDG142,HSDG142,PD04,Rep1,1,0,Batch_3,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG142PD_HHT_S1_L004_I1_001.fastq.gz,Nan,82611cc7310f320e55c4e7d4f9deaa6c  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
13,HSDG142,HSDG142,PD04,Rep1,1,0,Batch_3,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG142PD_HHT_S1_L004_R1_001.fastq.gz,Nan,Efbfc22c4f70229cc55d9ce0a9666905  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
14,HSDG142,HSDG142,PD04,Rep1,1,0,Batch_3,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG142PD_HHT_S1_L004_R2_001.fastq.gz,Nan,D81f41953ccfd7a19f0d8f7b40331a94  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
15,HSDG148,HSDG148,PD05,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG148PD_HHT_S8_L004_I1_001.fastq.gz,Nan,4fb24e5f1d013e9d3e9bddae257f13d7  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
16,HSDG148,HSDG148,PD05,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG148PD_HHT_S8_L004_R1_001.fastq.gz,Nan,7b5044a879fd6834da717bf30d567886  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
17,HSDG148,HSDG148,PD05,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG148PD_HHT_S8_L004_R2_001.fastq.gz,Nan,5160b193d2b027cff273cef8a498d18e  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
18,HSDG151,HSDG151,PD01,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG151PD_HHT_S3_L002_I1_001.fastq.gz,Nan,9fc42644fb0c172f7c763508c7ff487d  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
19,HSDG151,HSDG151,PD01,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG151PD_HHT_S3_L002_R1_001.fastq.gz,Nan,8a7864b884370cd471535458b0b1af36  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
20,HSDG151,HSDG151,PD01,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG151PD_HHT_S3_L002_R2_001.fastq.gz,Nan,F5df7869c3abb4cbb9a39744b52e735e  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
21,HSDG197,HSDG197,PD02,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG197PD_HHT_S4_L002_I1_001.fastq.gz,Nan,72c306e8e62f1e1aca40683d64b193e6  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
22,HSDG197,HSDG197,PD02,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG197PD_HHT_S4_L002_R1_001.fastq.gz,Nan,C25bd6667d2f26321c8e487fd03c0ccb  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
23,HSDG197,HSDG197,PD02,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG197PD_HHT_S4_L002_R2_001.fastq.gz,Nan,5468c04e562afefe9c5a8f2ce681da48  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
24,HSDG199,HSDG199,PD06,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG199PD_HHT_S9_L004_I1_001.fastq.gz,Nan,75e812687ceaaac3fb3b96f975ed882c  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
25,HSDG199,HSDG199,PD06,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG199PD_HHT_S9_L004_R1_001.fastq.gz,Nan,0c366114bd1c8a32fae4c5bc7fd5a827  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
26,HSDG199,HSDG199,PD06,Rep1,1,0,Batch_1,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HSDG199PD_HHT_S9_L004_R2_001.fastq.gz,Nan,5e341720064bed715b7615503f52e9fd  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
27,HSDG208,HSDG208,PD03,Rep1,1,0,Batch_3,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG208PD_HHT_S2_L004_I1_001.fastq.gz,Nan,E2c83faf07f6773f17e97cc15982e31e  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
28,HSDG208,HSDG208,PD03,Rep1,1,0,Batch_3,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG208PD_HHT_S2_L004_R1_001.fastq.gz,Nan,54785f282faa08feccfbc36909c3b813  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
29,HSDG208,HSDG208,PD03,Rep1,1,0,Batch_3,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG208PD_HHT_S2_L004_R2_001.fastq.gz,Nan,9c0805328e0b507fdc550eec75945de1  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000383 (female),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
30,HSDG30,HSDG30,HC05,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG30HC_HHT_S5_L002_I1_001.fastq.gz,Nan,25d8afaa03caef014cc524e123fbe4f1  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
31,HSDG30,HSDG30,HC05,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG30HC_HHT_S5_L002_R1_001.fastq.gz,Nan,800c3cba9ad5ba7e723a823185d8c6d7  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
32,HSDG30,HSDG30,HC05,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG30HC_HHT_S5_L002_R2_001.fastq.gz,Nan,33bb89ecc77864e941780ea5b51a1e78  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
33,HSDG99,HSDG99,HC06,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG99HC_HHT_S6_L002_I1_001.fastq.gz,Nan,4338a44166a8db22d17b505230cafb70  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
34,HSDG99,HSDG99,HC06,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG99HC_HHT_S6_L002_R1_001.fastq.gz,Nan,259872710e42ff48a06f7eb62d314044  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
35,HSDG99,HSDG99,HC06,Rep1,1,0,Batch_2,Brain,Prefrontal Cortex,,,Nuclear RNA,"single nuclei, 8000",v3.1 - Single Index,Paired-end,150,Illumina NovaSeq 6000,Fastq,HsDG99HC_HHT_S6_L002_R2_001.fastq.gz,Nan,F5e3940aac576c5110dbb7b2acdd7000  ,SN,RNA,Raw,Reads,,Nan,Nan,Nan,Nan,NCBITaxon:9606,Nan,PATO:0000384 (male),Nan,Nan,Nan,Nan,Nan,,NaN,,Nan
